,id,title,image_url,price,rating,reviews,category
67,68,여성 데님 반팔 빅사이즈 원피스,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/dce8/5915455c57368a8904e13eb2bba288341b312741fe6bd9ed0d53599be868.jpg,18900,4.0,602,woman_clothes
68,69,헤이즐 여름 클래식 코튼 반팔 카라 셔츠 벨트 버튼 단추 플레어 A라인 롱 원피스,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/4c70/3ef25bba710f71da2449ec67b71cc920dec29c4cf8b37d040ea5fdc60895.jpeg,36900,5.0,146,woman_clothes
69,70,네모엔룩 여성용 꽈배기민소매 레이어드 이너템 케이블 패턴 U넥 여름 민소매 니트 나시 NL,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/7d74/19dc38bde29f7d11c3f9160c16429558d27d34a15c29dfcbb95119af5215.jpg,14900,5.0,34,woman_clothes
70,71,아피나르 여성용 루즈핏 레이어드 체크 셔츠,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1754839240198506-aefc1729-8f64-42c8-831f-7fded5a628fb.jpg,9510,3.5,26,woman_clothes
71,72,가비진 여성용 후드집업 아노락 상하의 세트,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/fb12/adfcc7dd98417819d8a0567053ad43ba82235346501623cab5d386763fd1.jpg,25600,4.5,953,woman_clothes
72,73,레이디 매직(lady magic) 여성 캐주얼 7부소매 린넨 자켓,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/a4db/7a99fa5b41933643246201e5681562b28b07519131a2c79b9adafbbcb109.png,19900,4.0,1825,woman_clothes
73,74,네모엔룩 여성용 카라포멀 정장 오피스 하객룩 허리끈 반소매 미디 원피스,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/d4c9/00674f493b8c3376ac80925cec61505e565f6155ed925e833f22d00cfd4f.jpg,17900,4.5,120,woman_clothes
74,75,ELLE PARIS 린넨라이크 오픈 카라 반팔 셔츠,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/6496223543272161-022a24d0-4bf7-43e6-a5bb-8c404bc67c83.jpg,12540,4.5,203,woman_clothes
75,76,슈가언니 오버핏 [스트릿] 카고 트레이닝 하프 팬츠 반바지 20364,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/c0e1/9758870f482569a83ae7afd9e0e06b17cd6dd3f1d6c70a21aec31ab7006b.png,19800,5.0,8,woman_clothes
76,77,더잘 데일리 여성 무지 나시 6종세트 M~2XL,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/c385/96057be9dd12f97e39546d0aa1c5520df15172e5e98cfbd477a54f274039.jpg,14900,4.0,528,woman_clothes
77,78,가비진 여성용 숏/롱 기장선택! 스판 좋은 핀턱 밴딩 일자 와이드 팬츠 키작녀 바지 빅사이즈까지,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/743a/7af8d5fdcc2a8cc7a79bdc73b228cf6b858624b7021165366c65536ebf17.jpg,14900,4.5,317,woman_clothes
78,79,사계절 기본 티셔츠 (1+1+1) 원단좋은 티셔츠,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/97b5/1de31317040f0c0d310bd73bff3f7ea3188fd790dbdcd935c66d43c80800.jpg,13900,4.0,8,woman_clothes
79,80,록시부띠끄 청멜빵 롤업 오버롤 여름 데님 바지 팬츠,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/0951/70ba9fe2c487fead805f7e82c9d633f583e08fb418ecdb63afa633683ea7.jpeg,25900,4.5,129,woman_clothes
80,81,잇진 여성 어깨끈조절 뷔스티에 끈 나시 롱 원피스,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/32e5/2949ca301ef9af97e3077111de52f2cfd3c390619e382a937d1d8dbedcd2.jpg,23900,4.5,94,woman_clothes
81,82,ANYOU 여름원피스 반팔 쉬폰원피스,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/da9f/a8d2eea7b3eb64c922da1b564eb82b5809c23792d62b860967faabac148f.jpg,25000,4.5,117,woman_clothes
82,83,주디앤 여성 여름 슬림라인 반팔 롱원피스 루즈핏 1+1,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/eb1e/41b1156bcda82d8a3023e24161460798ab233b7917cdf2ce468f3eb3d324.jpg,18900,4.5,1692,woman_clothes
83,84,페이퍼코 여성 여름 밴딩 와이드 팬츠,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/989d/3d6dbae77f47b1db9aee4587cff14fe7da61104f52e4fc31caeb0a193286.jpeg,19800,5.0,87,woman_clothes
84,85,캐럿 여성용 냉장고 루즈 핏 티 + 와이드 팬츠 상하세트,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/353452264641699-19793d1b-0ee7-473a-8c7c-e779439b0aa0.jpg,14640,4.5,1117,woman_clothes
85,86,네모엔룩 여성용 밴딩카고 뉴트로 빈티지 허리밴딩 스트링 포켓 아메카지룩 와이드 통 팬츠 NL,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/681e/446d0e8b966e08a496548e003e97429ba3631ede2124be2ceb14d0376b8f.jpg,20620,4.5,138,woman_clothes
86,87,플로렐로 여성 슬림핏 브이넥 얇은 시스루 크롭 니트 가디건,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/515d/a74c7a962f25c843fadd94f63de0a224274a826ba3faae167fab23e56c2a.jpg,12980,4.5,110,woman_clothes
